name,price,size,area,url,monthly_fee,date_sold
Sigtuna­gatan 10,11 700 000 kr,"90 m², 3 rum","Lägenhet, Vasastan",https://www.booli.se/bostad/726256,2 755 kr/mån,2022-08-23
Sandhamns­gatan 42A,5 950 000 kr,"85 m², 3 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4699784,5 975 kr/mån,2022-08-10
Stickelbärs­vägen 5,3 350 000 kr,"47 m², 2 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4686863,2 481 kr/mån,2022-06-28
Grev Ture­gatan 8A,7 850 000 kr,"55 m², 2 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4613272,1 868 kr/mån,2022-08-11
Kristinebergs­vägen 3,3 200 000 kr,"36 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/328267,2 088 kr/mån,2022-08-23
Bergmynte­gränd 104,3 905 000 kr,"118 m², 4 rum","Radhus, Hässelby Norra Villastad",https://www.booli.se/bostad/2215449,N/A,2022-08-23
Jakt­gatan 14,4 550 000 kr,"54 m², 2 rum","Lägenhet, Norra Djurgårdsstaden",https://www.booli.se/annons/4705917,2 948 kr/mån,2022-08-23
Sköndals­vägen 126,1 700 000 kr,"42 m², 1 rum","Lägenhet, Sköndal",https://www.booli.se/annons/4677072,2 138 kr/mån,2022-08-23
Hammarby Allé 11,3 750 000 kr,"56 m², 1½ rum","Lägenhet, Hammarby Sjöstad",https://www.booli.se/annons/4659798,3 515 kr/mån,2022-08-23
Horns­gatan 123,4 800 000 kr,"63 m², 3 rum","Lägenhet, Hornstull",https://www.booli.se/annons/4619080,2 972 kr/mån,2022-08-23
Råcksta Gårds­väg 21,2 200 000 kr,"42 m², 2 rum","Lägenhet, Vällingby",https://www.booli.se/annons/4596400,2 955 kr/mån,2022-08-23
Pippi Långstrumps gata 37,5 650 000 kr,"106 m², 4 rum","Lägenhet, Bromma",https://www.booli.se/annons/4689198,4 970 kr/mån,2022-08-23
Sjöviks­vägen 13,3 850 000 kr,"53 m², 2 rum","Lägenhet, Liljeholmskajen",https://www.booli.se/bostad/671474,2 852 kr/mån,2022-08-23
Valhalla­vägen 22A,3 800 000 kr,"36 m², 2 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4700911,2 025 kr/mån,2022-08-22
Slip­gatan 12,2 850 000 kr,"31 m², 1 rum","Lägenhet, Södermalm",https://www.booli.se/bostad/4037037,2 001 kr/mån,2022-08-23
Gjutar­gatan 12,3 000 000 kr,"31 m², 1 rum","Lägenhet, Kungsholmen",https://www.booli.se/annons/4638400,1 586 kr/mån,2022-08-23
Snörmakar­vägen 49,3 125 000 kr,"55 m², 2 rum","Lägenhet, Bromma",https://www.booli.se/bostad/741447,3 754 kr/mån,2022-08-23
Arbetar­gatan 29,5 755 000 kr,"54 m², 2 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/83457,2 541 kr/mån,2022-08-23
Hägerstens­vägen 138,5 145 000 kr,"58 m², 2 rum","Lägenhet, Aspudden",https://www.booli.se/bostad/441939,3 512 kr/mån,2022-08-23
Fågelkärrs­vägen 2D,2 600 000 kr,"40 m², 1 rum","Lägenhet, Enskede",https://www.booli.se/annons/4732300,2 303 kr/mån,2022-08-23
Bergs­gatan 19A,3 250 000 kr,"26 m², 1 rum","Lägenhet, Kungsholmen",https://www.booli.se/bostad/576480,1 377 kr/mån,2022-08-23
